genetic_component,environmental_noise,true_phenotype,measurement_noise,total_noise,observed_phenotype,normed_observed_phenotypes
0.28460625,-0.2571738,0.027432442,0.0039262013,-0.25324762,0.031358644,0.1768954
0.10269229,0.17317013,0.27586243,-0.0017558048,0.17141433,0.27410662,0.4906566
-0.13790019,0.34594044,0.20804025,0.0023843327,0.34832478,0.21042459,0.4083451
0.35608482,0.3696923,0.72577715,0.20867203,0.5783643,0.9344492,1.3441751
-0.2853667,-0.2705137,-0.5558804,0.030644191,-0.23986952,-0.52523625,-0.5425252
-1.2753458,-0.062796764,-1.3381425,0.25458992,0.19179314,-1.0835526,-1.2641708
-0.08642805,0.2374419,0.15101385,-0.0012135356,0.23622836,0.14980032,0.32998586
-0.20027804,0.5726062,0.37232816,-0.011179228,0.561427,0.36114892,0.60316217
-0.31125036,0.5769316,0.26568124,0.008808919,0.5857405,0.27449015,0.49115232
-0.64775634,-0.4762168,-1.1239731,0.32855994,-0.14765686,-0.7954132,-0.89173937
0.55053556,0.107706875,0.65824246,-0.10414266,0.0035642162,0.5540998,0.8525587
0.35142943,-0.12783016,0.22359927,0.00040916866,-0.12742099,0.22400844,0.42590278
-0.10862103,0.13735512,0.028734088,0.0019002131,0.13925533,0.0306343,0.17595914
0.2306395,-0.33341065,-0.10277115,9.094071e-06,-0.33340156,-0.10276205,0.0035391725
-0.1526194,-0.06333702,-0.21595642,-0.001179824,-0.06451684,-0.21713625,-0.14429393
-1.0789258,0.1925791,-0.88634676,0.12168982,0.31426892,-0.76465696,-0.85198575
-0.42073116,0.3150006,-0.10573056,-2.892546e-07,0.3150003,-0.105730854,-0.00029812104
0.6490829,-0.039958604,0.6091243,-0.121187784,-0.16114639,0.48793653,0.7670401
-0.7900369,0.4015931,-0.38844383,0.019081999,0.4206751,-0.36936182,-0.34105137
-0.44528428,0.07222299,-0.3730613,0.019880159,0.09210315,-0.35318115,-0.32013726
-0.47427553,0.026214974,-0.44806054,-0.000782429,0.025432546,-0.44884297,-0.4437839
-0.2561279,0.04681937,-0.20930852,-0.0015104623,0.045308907,-0.21081898,-0.1361286
-0.7760139,-0.05999977,-0.8360137,-0.009658195,-0.06965797,-0.8456719,-0.9567007
-0.41616058,-0.21984704,-0.6360076,0.021355236,-0.1984918,-0.6146524,-0.658099
-0.22974066,-0.24439757,-0.47413823,-0.021607902,-0.26600546,-0.49574614,-0.50440806
0.26462322,0.23259431,0.49721754,-0.05842027,0.17417404,0.43879727,0.70352566
-0.0037878333,0.17940997,0.17562214,0.039814305,0.21922427,0.21543644,0.4148231
-0.24679114,-0.022239808,-0.26903096,-0.0035244054,-0.025764214,-0.27255535,-0.21592528
-0.18978891,0.15830314,-0.031485766,-8.677034e-05,0.15821637,-0.031572536,0.09555439
-1.3299935,-0.05107353,-1.381067,0.12421842,0.07314489,-1.2568486,-1.4881625
-2.2129328,0.23598455,-1.9769483,-0.3825496,-0.14656506,-2.3594978,-2.9133797
-1.2571034,0.06792671,-1.1891767,-0.21923877,-0.15131205,-1.4084154,-1.6840687
-0.18243246,-0.09864647,-0.28107893,-0.0056799212,-0.10432639,-0.28675887,-0.23428388
-1.0052576,-0.2896479,-1.2949055,-0.1482821,-0.43793,-1.4431876,-1.729013
0.29417232,0.01707069,0.311243,-0.014973959,0.0020967312,0.29626903,0.51930237
-0.9209781,0.20358524,-0.7173929,0.108296804,0.31188205,-0.6090961,-0.6509173
1.0001955,0.038854238,1.0390497,0.25124177,0.290096,1.2902915,1.8041152
-0.45215222,-0.038402773,-0.490555,0.03829823,-0.00010454282,-0.45225677,-0.44819638
-0.30861613,-0.6359723,-0.9445884,0.00500246,-0.6309699,-0.939586,-1.0780883
-0.8698488,0.373689,-0.4961598,-0.0657426,0.30794638,-0.5619024,-0.5899176
-0.17253366,0.14567263,-0.026861027,-0.00012076345,0.14555188,-0.02698179,0.10148811
-0.6161332,0.16120534,-0.45492786,0.008756339,0.16996168,-0.44617152,-0.44033092
-1.9298992,0.5085678,-1.4213314,-0.20111983,0.30744797,-1.6224512,-1.9607182
-0.55684716,-0.5716418,-1.128489,0.49448514,-0.07715666,-0.6340039,-0.68311155
-0.20793505,-0.15104394,-0.358979,6.938292e-05,-0.15097456,-0.3589096,-0.3275415
-0.24787618,-0.23815066,-0.48602682,0.019146338,-0.21900432,-0.4668805,-0.4670981
-0.54231834,-0.20419696,-0.7465153,0.0070344363,-0.19716252,-0.73948085,-0.81944466
-0.6461947,0.07227393,-0.5739208,-0.06018936,0.0120845735,-0.63411015,-0.68324894
1.442303,-0.24878381,1.1935191,-0.10123186,-0.35001567,1.0922873,1.548187
-0.16375008,-0.49398622,-0.6577363,-0.08604832,-0.58003455,-0.7437846,-0.82500744
-0.2782284,-0.29642615,-0.5746546,-0.004699064,-0.3011252,-0.57935363,-0.61247396
-0.07273252,-0.06329047,-0.13602298,-0.00010414317,-0.06339461,-0.13612713,-0.03958649
-0.6771727,0.5478082,-0.12936455,-2.4066216e-05,0.5477841,-0.12938862,-0.030876698
0.6721729,-0.16290092,0.509272,0.014958986,-0.14794193,0.52423096,0.8139521
0.12078331,-0.47413614,-0.35335284,-0.011740642,-0.4858768,-0.3650935,-0.33553445
-0.12542033,-0.3351987,-0.46061903,-0.018642224,-0.35384092,-0.47926125,-0.4831007
0.3032623,-0.013740879,0.28952143,-0.01657238,-0.030313259,0.27294904,0.4891604
-1.1141808,0.5252104,-0.5889704,-0.04142999,0.48378038,-0.6304004,-0.6784539
-0.4163144,0.07559878,-0.34071562,0.005648939,0.08124772,-0.33506668,-0.2967236
-1.2086598,0.04025407,-1.1684057,0.31654927,0.35680336,-0.85185635,-0.9646943
-1.1189946,-0.20039515,-1.3193897,-0.0591373,-0.25953245,-1.378527,-1.6454368
