genetic_component,environmental_noise,true_phenotype,measurement_noise,total_noise,observed_phenotype,normed_observed_phenotypes
0.28460625,-0.2571738,0.027432442,0.0019631006,-0.2552107,0.029395543,0.17963451
0.10269229,0.17317013,0.27586243,-0.0008779024,0.17229223,0.2749845,0.50216615
-0.13790019,0.34594044,0.20804025,0.0011921664,0.3471326,0.20923242,0.41581404
0.35608482,0.3696923,0.72577715,0.104336016,0.47402832,0.8301132,1.231216
-0.2853667,-0.2705137,-0.5558804,0.015322096,-0.25519162,-0.54055834,-0.56888515
-1.2753458,-0.062796764,-1.3381425,0.12729496,0.06449819,-1.2108476,-1.4491751
-0.08642805,0.2374419,0.15101385,-0.0006067678,0.23683514,0.15040709,0.33855882
-0.20027804,0.5726062,0.37232816,-0.005589614,0.5670166,0.36673856,0.62266666
-0.31125036,0.5769316,0.26568124,0.0044044596,0.5813361,0.2700857,0.4957326
-0.64775634,-0.4762168,-1.1239731,0.16427997,-0.31193683,-0.9596932,-1.1193343
0.55053556,0.107706875,0.65824246,-0.05207133,0.055635545,0.60617113,0.93711317
0.35142943,-0.12783016,0.22359927,0.00020458433,-0.12762558,0.22380385,0.43495068
-0.10862103,0.13735512,0.028734088,0.00095010654,0.13830523,0.029684195,0.18001361
0.2306395,-0.33341065,-0.10277115,4.5470356e-06,-0.3334061,-0.1027666,0.006066149
-0.1526194,-0.06333702,-0.21595642,-0.000589912,-0.063926935,-0.21654633,-0.14336061
-1.0789258,0.1925791,-0.88634676,0.06084491,0.25342402,-0.82550186,-0.9431011
-0.42073116,0.3150006,-0.10573056,-1.446273e-07,0.31500044,-0.105730705,0.0021733984
0.6490829,-0.039958604,0.6091243,-0.060593892,-0.1005525,0.5485304,0.86141366
-0.7900369,0.4015931,-0.38844383,0.009540999,0.4111341,-0.37890282,-0.3565832
-0.44528428,0.07222299,-0.3730613,0.009940079,0.08216307,-0.3631212,-0.33585718
-0.47427553,0.026214974,-0.44806054,-0.0003912145,0.025823759,-0.44845176,-0.4479217
-0.2561279,0.04681937,-0.20930852,-0.0007552311,0.04606414,-0.21006376,-0.13484706
-0.7760139,-0.05999977,-0.8360137,-0.0048290975,-0.06482887,-0.8408428,-0.9632483
-0.41616058,-0.21984704,-0.6360076,0.010677618,-0.20916942,-0.62533,-0.6802156
-0.22974066,-0.24439757,-0.47413823,-0.010803951,-0.25520152,-0.48494217,-0.49584454
0.26462322,0.23259431,0.49721754,-0.029210135,0.20338418,0.4680074,0.7556629
-0.0037878333,0.17940997,0.17562214,0.019907152,0.19931711,0.19552928,0.39781776
-0.24679114,-0.022239808,-0.26903096,-0.0017622027,-0.02400201,-0.27079317,-0.21460292
-0.18978891,0.15830314,-0.031485766,-4.338517e-05,0.15825975,-0.03152915,0.099622205
-1.3299935,-0.05107353,-1.381067,0.06210921,0.011035681,-1.3189578,-1.5911561
-2.2129328,0.23598455,-1.9769483,-0.1912748,0.044709742,-2.1682231,-2.7064953
-1.2571034,0.06792671,-1.1891767,-0.10961939,-0.041692674,-1.298796,-1.5646777
-0.18243246,-0.09864647,-0.28107893,-0.0028399606,-0.10148643,-0.2839189,-0.23184091
-1.0052576,-0.2896479,-1.2949055,-0.07414105,-0.36378896,-1.3690466,-1.6569376
0.29417232,0.01707069,0.311243,-0.0074869795,0.009583711,0.30375603,0.53995174
-0.9209781,0.20358524,-0.7173929,0.054148402,0.25773364,-0.66324455,-0.7300088
1.0001955,0.038854238,1.0390497,0.12562089,0.16447513,1.1646706,1.6705898
-0.45215222,-0.038402773,-0.490555,0.019149115,-0.019253658,-0.47140586,-0.47806728
-0.30861613,-0.6359723,-0.9445884,0.00250123,-0.6334711,-0.9420872,-1.0962124
-0.8698488,0.373689,-0.4961598,-0.0328713,0.3408177,-0.5290311,-0.5537464
-0.17253366,0.14567263,-0.026861027,-6.0381724e-05,0.14561225,-0.026921408,0.105673544
-0.6161332,0.16120534,-0.45492786,0.0043781693,0.1655835,-0.4505497,-0.45067695
-1.9298992,0.5085678,-1.4213314,-0.10055991,0.4080079,-1.5218914,-1.8576685
-0.55684716,-0.5716418,-1.128489,0.24724257,-0.32439923,-0.88124645,-1.0163103
-0.20793505,-0.15104394,-0.358979,3.469146e-05,-0.15100925,-0.3589443,-0.33037165
-0.24787618,-0.23815066,-0.48602682,0.009573169,-0.2285775,-0.47645366,-0.48469657
-0.54231834,-0.20419696,-0.7465153,0.0035172182,-0.20067973,-0.74299806,-0.834749
-0.6461947,0.07227393,-0.5739208,-0.03009468,0.042179253,-0.60401547,-0.6522233
1.442303,-0.24878381,1.1935191,-0.05061593,-0.29939973,1.1429032,1.6420027
-0.16375008,-0.49398622,-0.6577363,-0.04302416,-0.5370104,-0.7007605,-0.7792784
-0.2782284,-0.29642615,-0.5746546,-0.002349532,-0.29877567,-0.57700413,-0.61674935
-0.07273252,-0.06329047,-0.13602298,-5.2071584e-05,-0.06334254,-0.13607505,-0.03767779
-0.6771727,0.5478082,-0.12936455,-1.2033108e-05,0.54779613,-0.12937659,-0.028880712
0.6721729,-0.16290092,0.509272,0.007479493,-0.15542144,0.51675147,0.8196784
0.12078331,-0.47413614,-0.35335284,-0.005870321,-0.48000646,-0.35922316,-0.33073792
-0.12542033,-0.3351987,-0.46061903,-0.009321112,-0.34451982,-0.46994016,-0.4761424
0.3032623,-0.013740879,0.28952143,-0.00828619,-0.022027068,0.28123525,0.51037526
-1.1141808,0.5252104,-0.5889704,-0.020714995,0.5044954,-0.6096854,-0.65966964
-0.4163144,0.07559878,-0.34071562,0.0028244695,0.07842325,-0.33789116,-0.30272263
-1.2086598,0.04025407,-1.1684057,0.15827464,0.1985287,-1.010131,-1.1855743
-1.1189946,-0.20039515,-1.3193897,-0.02956865,-0.22996381,-1.3489584,-1.6305559
0.70545846,0.29490188,1.0003604,-0.12055991,0.17434198,0.87980044,1.2964702
0.58597666,-0.22504446,0.3609322,-0.007073153,-0.23211761,0.35385904,0.605752
-0.99320024,0.16350396,-0.8296963,0.021041045,0.18454501,-0.80865526,-0.92097646
-1.0053884,0.062145825,-0.94324255,-0.050120234,0.012025591,-0.9933628,-1.1635526
0.20741855,0.2812248,0.48864335,-0.007928377,0.27329642,0.48071498,0.77235174
0.82453024,-0.5211058,0.30342442,-0.028004797,-0.54911065,0.27541962,0.5027376
0.68879235,0.22544709,0.9142394,0.07969683,0.30514392,0.99393624,1.4463645
-0.6267297,0.10898902,-0.5177407,0.00772431,0.11671333,-0.51001644,-0.5287745
-0.62422323,0.2002932,-0.42393005,-0.011172654,0.18912055,-0.4351027,-0.4303904
-0.4753554,-0.2883553,-0.7637107,-0.022574078,-0.31092936,-0.78628474,-0.89159733
-0.7543935,-0.26707998,-1.0214735,-0.010793923,-0.2778739,-1.0322675,-1.2146461
0.30227306,0.17406856,0.4763416,-0.04584264,0.12822592,0.43049896,0.70640314
-0.38728955,-0.32522312,-0.7125127,-0.05127621,-0.37649933,-0.7637889,-0.8620535
-0.34233576,0.17962095,-0.16271481,-3.53639e-06,0.17961742,-0.16271834,-0.07266839
-0.06729693,-0.1474067,-0.21470362,-0.0017112455,-0.14911795,-0.21641487,-0.14318797
-0.27258152,-0.2708239,-0.5434054,0.006508207,-0.2643157,-0.5368972,-0.56407696
-0.50340104,0.17715411,-0.32624692,0.00021699721,0.1773711,-0.32602993,-0.2871453
0.11531282,0.24868928,0.3640021,-0.027803408,0.22088587,0.3361987,0.5825587
0.5080845,-0.24732664,0.26075783,-0.009790717,-0.25711736,0.25096712,0.47062415
0.567264,0.04062231,0.6078863,-0.0050927466,0.03552956,0.6027936,0.93267745
0.2012004,0.20741162,0.408612,-0.0031920546,0.20421956,0.40541995,0.6734669
-1.6313657,-0.12649368,-1.7578593,0.063851595,-0.06264208,-1.6940078,-2.0837088
0.763484,0.17695348,0.9404375,-0.04814209,0.12881139,0.8922954,1.3128798
-1.2315159,-0.13536139,-1.3668773,-0.07313671,-0.20849809,-1.440014,-1.7501391
-0.15501836,0.51930326,0.3642849,0.0009896815,0.52029294,0.36527458,0.620744
1.129767,0.07550963,1.2052766,0.022515897,0.09802553,1.2277925,1.7534877
1.231662,0.43081966,1.6624817,0.117559634,0.5483793,1.7800413,2.4787555
1.3724804,0.4709925,1.843473,0.59317285,1.0641654,2.4366457,3.341073
-0.728843,-0.34622586,-1.0750688,0.03237264,-0.3138532,-1.0426962,-1.2283422
0.2848596,0.036548242,0.32140785,0.007553393,0.044101633,0.32896125,0.5730538
1.1318979,0.32086053,1.4527584,0.2512223,0.5720829,1.7039807,2.378865
0.18780814,0.011542755,0.1993509,0.0075563435,0.019099098,0.20690724,0.41276038
-1.1236348,0.25545874,-0.8681761,-0.022534136,0.23292461,-0.89071023,-1.0287392
-0.4479722,-0.5257797,-0.9737519,-0.057413723,-0.5831934,-1.0311656,-1.213199
-0.2422799,0.15825725,-0.084022656,-1.8496383e-05,0.15823875,-0.084041156,0.030658254
0.71972144,-0.30044135,0.41928008,0.0088851405,-0.2915562,0.42816523,0.7033382
0.10998526,-0.5617849,-0.45179966,0.004616009,-0.5571689,-0.44718364,-0.4462563
-0.3074901,0.28210574,-0.025384367,-0.00037351472,0.28173223,-0.02575788,0.107201606
1.0145366,-0.46957624,0.5449604,-0.046775106,-0.51635134,0.49818528,0.7952955
0.71152854,0.18978612,0.9013147,-0.055811193,0.13397492,0.8455035,1.251428
0.916228,-0.29230267,0.6239253,0.007708915,-0.28459376,0.63163424,0.9705538
-0.7314609,-0.32253933,-1.0540003,0.014766497,-0.30777285,-1.0392338,-1.2237949
0.09699801,0.18477452,0.28177252,-0.002155956,0.18261856,0.27961656,0.50824946
-0.78043795,0.09882595,-0.681612,-0.008722478,0.09010347,-0.6903345,-0.76558596
-0.8246552,0.028508872,-0.7961463,0.037586637,0.06609551,-0.75855964,-0.855186
-0.91736484,0.17996673,-0.7373981,-0.006521902,0.17344484,-0.74391997,-0.8359597
-0.22311155,0.21579544,-0.0073161125,-0.0008254569,0.21497,-0.00814157,0.13033707
-0.6566333,-0.69930065,-1.3559339,-0.075687796,-0.7749884,-1.4316217,-1.7391174
-1.2752275,0.14089087,-1.1343367,0.04823588,0.18912674,-1.0861008,-1.2853453
