genetic_component,environmental_noise,true_phenotype,measurement_noise,total_noise,observed_phenotype,normed_observed_phenotypes
0.28460625,-0.2571738,0.027432442,0.0039262013,-0.2571738,0.027432442,0.1802208
0.10269229,0.17317013,0.27586243,-0.0017558048,0.17317013,0.27586243,0.5077344
-0.13790019,0.34594044,0.20804025,0.0023843327,0.34594044,0.20804025,0.41832212
0.35608482,0.3696923,0.72577715,0.20867203,0.3696923,0.72577715,1.100872
-0.2853667,-0.2705137,-0.5558804,0.030644191,-0.2705137,-0.5558804,-0.58878016
-1.2753458,-0.062796764,-1.3381425,0.25458992,-0.062796764,-1.3381425,-1.6200625
-0.08642805,0.2374419,0.15101385,-0.0012135356,0.2374419,0.15101385,0.34314233
-0.20027804,0.5726062,0.37232816,-0.011179228,0.5726062,0.37232816,0.63490844
-0.31125036,0.5769316,0.26568124,0.008808919,0.5769316,0.26568124,0.4943122
-0.64775634,-0.4762168,-1.1239731,0.32855994,-0.4762168,-1.1239731,-1.3377159
0.55053556,0.107706875,0.65824246,-0.10414266,0.107706875,0.65824246,1.0118388
0.35142943,-0.12783016,0.22359927,0.00040916866,-0.12783016,0.22359927,0.4388341
-0.10862103,0.13735512,0.028734088,0.0019002131,0.13735512,0.028734088,0.1819368
0.2306395,-0.33341065,-0.10277115,9.094071e-06,-0.33341065,-0.10277115,0.008569028
-0.1526194,-0.06333702,-0.21595642,-0.001179824,-0.06333702,-0.21595642,-0.14064692
-1.0789258,0.1925791,-0.88634676,0.12168982,0.1925791,-0.88634676,-1.024445
-0.42073116,0.3150006,-0.10573056,-2.892546e-07,0.3150006,-0.10573056,0.0046675317
0.6490829,-0.039958604,0.6091243,-0.121187784,-0.039958604,0.6091243,0.9470847
-0.7900369,0.4015931,-0.38844383,0.019081999,0.4015931,-0.38844383,-0.36804286
-0.44528428,0.07222299,-0.3730613,0.019880159,0.07222299,-0.3730613,-0.34776354
-0.47427553,0.026214974,-0.44806054,-0.000782429,0.026214974,-0.44806054,-0.44663757
-0.2561279,0.04681937,-0.20930852,-0.0015104623,0.04681937,-0.20930852,-0.13188277
-0.7760139,-0.05999977,-0.8360137,-0.009658195,-0.05999977,-0.8360137,-0.95808923
-0.41616058,-0.21984704,-0.6360076,0.021355236,-0.21984704,-0.6360076,-0.6944145
-0.22974066,-0.24439757,-0.47413823,-0.021607902,-0.24439757,-0.47413823,-0.48101667
0.26462322,0.23259431,0.49721754,-0.05842027,0.23259431,0.49721754,0.7995543
-0.0037878333,0.17940997,0.17562214,0.039814305,0.17940997,0.17562214,0.37558424
-0.24679114,-0.022239808,-0.26903096,-0.0035244054,-0.022239808,-0.26903096,-0.21061686
-0.18978891,0.15830314,-0.031485766,-8.677034e-05,0.15830314,-0.031485766,0.10254694
-1.3299935,-0.05107353,-1.381067,0.12421842,-0.05107353,-1.381067,-1.6766514
-2.2129328,0.23598455,-1.9769483,-0.3825496,0.23598455,-1.9769483,-2.4622216
-1.2571034,0.06792671,-1.1891767,-0.21923877,0.06792671,-1.1891767,-1.4236759
-0.18243246,-0.09864647,-0.28107893,-0.0056799212,-0.09864647,-0.28107893,-0.22650011
-1.0052576,-0.2896479,-1.2949055,-0.1482821,-0.2896479,-1.2949055,-1.5630617
0.29417232,0.01707069,0.311243,-0.014973959,0.01707069,0.311243,0.5543778
-0.9209781,0.20358524,-0.7173929,0.108296804,0.20358524,-0.7173929,-0.8017075
1.0001955,0.038854238,1.0390497,0.25124177,0.038854238,1.0390497,1.5138699
-0.45215222,-0.038402773,-0.490555,0.03829823,-0.038402773,-0.490555,-0.50265944
-0.30861613,-0.6359723,-0.9445884,0.00500246,-0.6359723,-0.9445884,-1.1012269
-0.8698488,0.373689,-0.4961598,-0.0657426,0.373689,-0.4961598,-0.51004845
-0.17253366,0.14567263,-0.026861027,-0.00012076345,0.14567263,-0.026861027,0.10864389
-0.6161332,0.16120534,-0.45492786,0.008756339,0.16120534,-0.45492786,-0.45569098
-1.9298992,0.5085678,-1.4213314,-0.20111983,0.5085678,-1.4213314,-1.7297332
-0.55684716,-0.5716418,-1.128489,0.49448514,-0.5716418,-1.128489,-1.3436693
-0.20793505,-0.15104394,-0.358979,6.938292e-05,-0.15104394,-0.358979,-0.32919836
-0.24787618,-0.23815066,-0.48602682,0.019146338,-0.23815066,-0.48602682,-0.4966898
-0.54231834,-0.20419696,-0.7465153,0.0070344363,-0.20419696,-0.7465153,-0.84010047
-0.6461947,0.07227393,-0.5739208,-0.06018936,0.07227393,-0.5739208,-0.6125634
1.442303,-0.24878381,1.1935191,-0.10123186,-0.24878381,1.1935191,1.717512
-0.16375008,-0.49398622,-0.6577363,-0.08604832,-0.49398622,-0.6577363,-0.72306013
-0.2782284,-0.29642615,-0.5746546,-0.004699064,-0.29642615,-0.5746546,-0.61353076
-0.07273252,-0.06329047,-0.13602298,-0.00010414317,-0.06329047,-0.13602298,-0.035267986
-0.6771727,0.5478082,-0.12936455,-2.4066216e-05,0.5478082,-0.12936455,-0.026489947
0.6721729,-0.16290092,0.509272,0.014958986,-0.16290092,0.509272,0.815446
0.12078331,-0.47413614,-0.35335284,-0.011740642,-0.47413614,-0.35335284,-0.32178122
-0.12542033,-0.3351987,-0.46061903,-0.018642224,-0.3351987,-0.46061903,-0.46319383
0.3032623,-0.013740879,0.28952143,-0.01657238,-0.013740879,0.28952143,0.5257415
-1.1141808,0.5252104,-0.5889704,-0.04142999,0.5252104,-0.5889704,-0.6324038
-0.4163144,0.07559878,-0.34071562,0.005648939,0.07559878,-0.34071562,-0.30512115
-1.2086598,0.04025407,-1.1684057,0.31654927,0.04025407,-1.1684057,-1.3962927
-1.1189946,-0.20039515,-1.3193897,-0.0591373,-0.20039515,-1.3193897,-1.59534
0.70545846,0.29490188,1.0003604,-0.24111982,0.29490188,1.0003604,1.4628644
0.58597666,-0.22504446,0.3609322,-0.014146306,-0.22504446,0.3609322,0.6198847
-0.99320024,0.16350396,-0.8296963,0.04208209,0.16350396,-0.8296963,-0.9497608
-1.0053884,0.062145825,-0.94324255,-0.10024047,0.062145825,-0.94324255,-1.0994526
0.20741855,0.2812248,0.48864335,-0.015856754,0.2812248,0.48864335,0.7882506
0.82453024,-0.5211058,0.30342442,-0.056009594,-0.5211058,0.30342442,0.5440703
