genetic_component,environmental_noise,true_phenotype,measurement_noise,total_noise,observed_phenotype,normed_observed_phenotypes
0.28460625,-0.2571738,0.027432442,0.20549993,-0.051673874,0.23293237,0.44067687
0.10269229,0.17317013,0.27586243,-0.011578491,0.16159165,0.26428393,0.4810852
-0.13790019,0.34594044,0.20804025,0.023162963,0.3691034,0.23120321,0.4384482
0.35608482,0.3696923,0.72577715,0.29271132,0.6624036,1.0184884,1.4531637
-0.2853667,-0.2705137,-0.5558804,0.1502764,-0.12023732,-0.40560403,-0.38231954
-1.2753458,-0.062796764,-1.3381425,0.16490227,0.102105506,-1.1732402,-1.37171
-0.08642805,0.2374419,0.15101385,-0.017520756,0.21992114,0.1334931,0.31251162
-0.20027804,0.5726062,0.37232816,-0.04714532,0.5254609,0.32518286,0.55957663
-0.31125036,0.5769316,0.26568124,0.061287075,0.63821864,0.3269683,0.56187785
-0.64775634,-0.4762168,-1.1239731,0.31213018,-0.16408661,-0.8118429,-0.9059124
0.55053556,0.107706875,0.65824246,-0.17292386,-0.06521699,0.4853186,0.76597226
0.35142943,-0.12783016,0.22359927,0.0036120235,-0.124218136,0.2272113,0.4333031
-0.10862103,0.13735512,0.028734088,0.09759108,0.23494619,0.12632516,0.30327302
0.2306395,-0.33341065,-0.10277115,0.2105446,-0.12286605,0.10777345,0.2793621
-0.1526194,-0.06333702,-0.21595642,-0.10139246,-0.16472948,-0.3173489,-0.2685693
-1.0789258,0.1925791,-0.88634676,0.19711778,0.3896969,-0.689229,-0.7478779
-0.42073116,0.3150006,-0.10573056,-0.022571199,0.2924294,-0.12830177,-0.024910362
0.6490829,-0.039958604,0.6091243,-0.22968365,-0.26964226,0.37944067,0.6295084
-0.7900369,0.4015931,-0.38844383,0.2394837,0.6410768,-0.14896013,-0.051536493
-0.44528428,0.07222299,-0.3730613,0.2794478,0.3516708,-0.093613505,0.019798623
-0.47427553,0.026214974,-0.44806054,-0.006667812,0.019547163,-0.45472836,-0.44563484
-0.2561279,0.04681937,-0.20930852,-0.14763273,-0.10081336,-0.35694125,-0.31959906
-0.7760139,-0.05999977,-0.8360137,-0.017886814,-0.07788658,-0.8539005,-0.96011955
-0.41616058,-0.21984704,-0.6360076,0.075286254,-0.14456078,-0.56072134,-0.582247
-0.22974066,-0.24439757,-0.47413823,-0.15876007,-0.40315765,-0.63289833,-0.67527443
0.26462322,0.23259431,0.49721754,-0.15535189,0.07724242,0.34186566,0.58107877
-0.0037878333,0.17940997,0.17562214,0.4798144,0.6592244,0.6554365,0.9852337
-0.24679114,-0.022239808,-0.26903096,-0.13506678,-0.15730658,-0.40409774,-0.38037807
-0.18978891,0.15830314,-0.031485766,-0.0140273245,0.14427581,-0.04551309,0.081794254
-1.3299935,-0.05107353,-1.381067,0.07511893,0.0240454,-1.3059481,-1.5427545
-2.2129328,0.23598455,-1.9769483,-0.10727101,0.12871355,-2.0842192,-2.545852
-1.2571034,0.06792671,-1.1891767,-0.18388402,-0.11595731,-1.3730607,-1.6292545
-0.18243246,-0.09864647,-0.28107893,-0.18821506,-0.28686154,-0.469294,-0.4644082
-1.0052576,-0.2896479,-1.2949055,-0.103177585,-0.39282548,-1.3980831,-1.6615053
0.29417232,0.01707069,0.311243,-0.082827374,-0.065756686,0.22841562,0.4348553
-0.9209781,0.20358524,-0.7173929,0.2864393,0.49002454,-0.43095362,-0.41499206
1.0001955,0.038854238,1.0390497,0.18636473,0.22521897,1.2254145,1.7198665
-0.45215222,-0.038402773,-0.490555,0.25767955,0.21927679,-0.23287544,-0.1596932
-0.30861613,-0.6359723,-0.9445884,0.0070125973,-0.6289597,-0.9375758,-1.0679669
-0.8698488,0.373689,-0.4961598,-0.42960855,-0.055919558,-0.9257684,-1.0527486
-0.17253366,0.14567263,-0.026861027,-0.017392972,0.12827966,-0.044253998,0.08341707
-0.6161332,0.16120534,-0.45492786,0.07168538,0.23289073,-0.3832425,-0.35349816
-1.9298992,0.5085678,-1.4213314,-0.11427351,0.3942943,-1.535605,-1.8387544
-0.55684716,-0.5716418,-1.128489,0.46560472,-0.10603708,-0.6628843,-0.71392274
-0.20793505,-0.15104394,-0.358979,0.0010883941,-0.14995554,-0.3578906,-0.32082266
-0.24787618,-0.23815066,-0.48602682,0.13193625,-0.106214404,-0.35409057,-0.31592488
-0.54231834,-0.20419696,-0.7465153,0.016943993,-0.18725297,-0.7295713,-0.7998742
-0.6461947,0.07227393,-0.5739208,-0.27268836,-0.20041442,-0.8466091,-0.95072186
1.442303,-0.24878381,1.1935191,-0.058340017,-0.30712384,1.135179,1.6035639
-0.16375008,-0.49398622,-0.6577363,-0.27979663,-0.77378285,-0.9375329,-1.0679116
-0.2782284,-0.29642615,-0.5746546,-0.021222062,-0.3176482,-0.59587663,-0.62755793
-0.07273252,-0.06329047,-0.13602298,-0.14233719,-0.20562765,-0.2783602,-0.21831755
-0.6771727,0.5478082,-0.12936455,-0.05830349,0.4895047,-0.18766804,-0.101426326
0.6721729,-0.16290092,0.509272,0.038243763,-0.12465716,0.54751575,0.84613687
0.12078331,-0.47413614,-0.35335284,-0.19276108,-0.66689724,-0.5461139,-0.56341976
-0.12542033,-0.3351987,-0.46061903,-0.1477138,-0.48291248,-0.6083328,-0.64361244
0.3032623,-0.013740879,0.28952143,-0.101927,-0.11566788,0.18759443,0.38224173
-1.1141808,0.5252104,-0.5889704,-0.17610626,0.3491041,-0.7650767,-0.84563637
-0.4163144,0.07559878,-0.34071562,0.103150465,0.17874923,-0.23756516,-0.16573769
-1.2086598,0.04025407,-1.1684057,0.27601793,0.31627202,-0.89238775,-1.009725
-1.1189946,-0.20039515,-1.3193897,-0.03950062,-0.23989578,-1.3588903,-1.6109905
0.70545846,0.29490188,1.0003604,-0.19154626,0.10335562,0.8088141,1.1829189
0.58597666,-0.22504446,0.3609322,-0.062584974,-0.28762943,0.29834723,0.5249888
-0.99320024,0.16350396,-0.8296963,0.07930814,0.2428121,-0.75038815,-0.8267046
-1.0053884,0.062145825,-0.94324255,-0.14097399,-0.078828156,-1.0842166,-1.2569692
0.20741855,0.2812248,0.48864335,-0.043384496,0.2378403,0.44525886,0.7143401
0.82453024,-0.5211058,0.30342442,-0.32166314,-0.84276897,-0.018238723,0.11694762
0.68879235,0.22544709,0.9142394,0.14882806,0.37427515,1.0630674,1.5106207
-0.6267297,0.10898902,-0.5177407,0.09056665,0.19955567,-0.4271741,-0.4101207
-0.62422323,0.2002932,-0.42393005,-0.22075182,-0.020458624,-0.6446819,-0.690462
-0.4753554,-0.2883553,-0.7637107,-0.103109606,-0.3914649,-0.8668203,-0.9767716
-0.7543935,-0.26707998,-1.0214735,-0.025376115,-0.2924561,-1.0468496,-1.2088077
0.30227306,0.17406856,0.4763416,-0.2615032,-0.087434635,0.21483842,0.41735592
-0.38728955,-0.32522312,-0.7125127,-0.27565232,-0.60087544,-0.988165,-1.1331704
-0.34233576,0.17962095,-0.16271481,-0.0024221123,0.17719884,-0.16513692,-0.07238642
-0.06729693,-0.1474067,-0.21470362,-0.30115563,-0.44856232,-0.51585925,-0.52442515
-0.27258152,-0.2708239,-0.5434054,0.067552485,-0.20327142,-0.47585294,-0.4728619
-0.50340104,0.17715411,-0.32624692,0.009016949,0.18617105,-0.31722996,-0.268416
