genetic_component,environmental_noise,true_phenotype,measurement_noise,total_noise,observed_phenotype,normed_observed_phenotypes
0.1219741,-0.0857246,0.036249503,0.008399152,-0.07732545,0.044648655,0.24831906
0.044010982,0.057723377,0.101734355,-0.0015132654,0.05621011,0.10022109,0.40519214
-0.059100088,0.11531348,0.05621339,0.0014563625,0.11676984,0.05766975,0.28507575
0.15260778,0.12323077,0.27583855,0.18046178,0.30369255,0.45630032,1.4103528
-0.122300036,-0.09017123,-0.21247128,0.024415007,-0.065756224,-0.18805628,-0.4085737
-0.5465768,-0.020932253,-0.56750906,0.26472655,0.24379429,-0.3027825,-0.73242944
-0.0370406,0.079147294,0.042106695,-0.0008206358,0.07832666,0.04128606,0.23882693
-0.08583345,0.19086872,0.10503527,-0.006438569,0.18443015,0.0985967,0.40060666
-0.13339302,0.19231053,0.058917508,0.0040583,0.19636883,0.06297581,0.300054
-0.27760985,-0.15873893,-0.4363488,0.28042898,0.12169005,-0.15591982,-0.31785706
0.23594382,0.035902288,0.27184612,-0.10398878,-0.06808649,0.16785733,0.5961195
0.15061262,-0.042610053,0.10800257,0.000512754,-0.0420973,0.10851533,0.42860553
-0.046551876,0.045785043,-0.0007668324,0.0012261888,0.047011234,0.00045935647,0.123578995
0.098845504,-0.111136876,-0.012291372,0.0014872939,-0.10964958,-0.010804078,0.091783926
-0.06540832,-0.02111234,-0.08652066,-0.0009458099,-0.02205815,-0.08746646,-0.12462302
-0.4623968,0.06419303,-0.39820376,0.14411019,0.20830321,-0.2540936,-0.5949876
-0.18031336,0.10500019,-0.07531317,-0.00010842992,0.10489176,-0.0754216,-0.0906221
0.2781784,-0.013319534,0.26485887,-0.13213116,-0.1454507,0.13272771,0.49695367
-0.33858728,0.13386436,-0.20472293,0.035353314,0.16921768,-0.16936961,-0.3558239
-0.19083613,0.024074333,-0.1667618,0.023801124,0.047875457,-0.14296068,-0.28127527
-0.20326096,0.008738325,-0.19452263,-0.00086125097,0.007877074,-0.19538389,-0.4292585
-0.109769106,0.015606456,-0.09416265,-0.0019585174,0.013647939,-0.09612117,-0.14905402
-0.33257744,-0.019999923,-0.35257736,-0.009901214,-0.029901138,-0.36247858,-0.9009429
-0.17835455,-0.073282346,-0.2516369,0.018699683,-0.054582663,-0.23293722,-0.53526616
-0.098460294,-0.08146585,-0.17992614,-0.016653312,-0.09811916,-0.19657946,-0.4326334
0.113409966,0.077531435,0.1909414,-0.052007828,0.025523607,0.13893357,0.5144719
-0.0016233572,0.059803326,0.058179967,0.031330645,0.09113397,0.08951061,0.37495798
-0.10576764,-0.0074132695,-0.113180906,-0.0035210135,-0.010934283,-0.116701916,-0.20715052
-0.0813381,0.05276771,-0.028570391,-2.769557e-05,0.052740015,-0.028598087,0.041553985
-0.56999725,-0.017024508,-0.58702177,0.12980036,0.112775855,-0.4572214,-1.1683884
