genetic_component,environmental_noise,true_phenotype,measurement_noise,total_noise,observed_phenotype,normed_observed_phenotypes
0.1219741,-0.0857246,0.036249503,0.20549993,0.11977533,0.24174944,0.80728304
0.044010982,0.057723377,0.101734355,-0.011578491,0.046144888,0.09015586,0.38277403
-0.059100088,0.11531348,0.05621339,0.023162963,0.13847645,0.079376355,0.35258806
0.15260778,0.12323077,0.27583855,0.29271132,0.41594207,0.5685499,1.7224253
-0.122300036,-0.09017123,-0.21247128,0.1502764,0.06010516,-0.062194884,-0.043855257
-0.5465768,-0.020932253,-0.56750906,0.16490227,0.14397001,-0.4026068,-0.997114
-0.0370406,0.079147294,0.042106695,-0.017520756,0.06162654,0.02458594,0.19915794
-0.08583345,0.19086872,0.10503527,-0.04714532,0.1437234,0.05788995,0.29241946
-0.13339302,0.19231053,0.058917508,0.061287075,0.25359762,0.12020458,0.46691972
-0.27760985,-0.15873893,-0.4363488,0.31213018,0.15339126,-0.12421861,-0.21754092
0.23594382,0.035902288,0.27184612,-0.17292386,-0.13702157,0.09892225,0.40732265
0.15061262,-0.042610053,0.10800257,0.0036120235,-0.03899803,0.1116146,0.44286513
-0.046551876,0.045785043,-0.0007668324,0.09759108,0.14337613,0.09682424,0.40144753
0.098845504,-0.111136876,-0.012291372,0.2105446,0.099407725,0.19825323,0.6854801
-0.06540832,-0.02111234,-0.08652066,-0.10139246,-0.1225048,-0.18791312,-0.39590526
-0.4623968,0.06419303,-0.39820376,0.19711778,0.26131082,-0.20108598,-0.43279335
-0.18031336,0.10500019,-0.07531317,-0.022571199,0.08242899,-0.09788437,-0.14379688
0.2781784,-0.013319534,0.26485887,-0.22968365,-0.24300319,0.03517522,0.22881119
-0.33858728,0.13386436,-0.20472293,0.2394837,0.37334806,0.034760773,0.22765061
-0.19083613,0.024074333,-0.1667618,0.2794478,0.30352214,0.11268599,0.44586536
-0.20326096,0.008738325,-0.19452263,-0.006667812,0.002070513,-0.20119044,-0.43308586
-0.109769106,0.015606456,-0.09416265,-0.14763273,-0.13202627,-0.24179539,-0.54679227
-0.33257744,-0.019999923,-0.35257736,-0.017886814,-0.03788674,-0.37046418,-0.90710473
-0.17835455,-0.073282346,-0.2516369,0.075286254,0.0020039082,-0.17635064,-0.36352676
-0.098460294,-0.08146585,-0.17992614,-0.15876007,-0.24022591,-0.33868623,-0.81811666
0.113409966,0.077531435,0.1909414,-0.15535189,-0.07782046,0.0355895,0.22997132
-0.0016233572,0.059803326,0.058179967,0.4798144,0.5396177,0.5379944,1.6368606
-0.10576764,-0.0074132695,-0.113180906,-0.13506678,-0.14248005,-0.24824768,-0.5648607
-0.0813381,0.05276771,-0.028570391,-0.0140273245,0.038740385,-0.042597715,0.011022885
-0.56999725,-0.017024508,-0.58702177,0.07511893,0.05809442,-0.5119028,-1.3031768
-0.9483999,0.07866152,-0.8697384,-0.10727101,-0.028609492,-0.9770094,-2.6056194
-0.53875864,0.022642238,-0.5161164,-0.18388402,-0.16124178,-0.7000004,-1.8299084
-0.07818535,-0.032882154,-0.1110675,-0.18821506,-0.22109722,-0.29928255,-0.70777416
-0.4308247,-0.096549295,-0.52737397,-0.103177585,-0.19972688,-0.6305516,-1.6354301
0.12607385,0.0056902296,0.13176408,-0.082827374,-0.07713714,0.04893671,0.26734763
-0.3947049,0.06786174,-0.32684317,0.2864393,0.35430104,-0.040403873,0.017166324
0.4286552,0.012951411,0.4416066,0.18636473,0.19931614,0.62797135,1.888824
-0.19377953,-0.0128009245,-0.20658046,0.25767955,0.24487862,0.05109909,0.27340296
-0.13226406,-0.21199079,-0.34425485,0.0070125973,-0.2049782,-0.33724225,-0.8140731
-0.37279236,0.124562986,-0.24822938,-0.42960855,-0.30504557,-0.67783797,-1.7678467
-0.073943004,0.048557546,-0.025385458,-0.017392972,0.031164574,-0.042778432,0.0105168205
-0.2640571,0.053735107,-0.210322,0.07168538,0.12542048,-0.13863662,-0.2579158
-0.82709974,0.16952258,-0.65757716,-0.11427351,0.055249073,-0.77185065,-2.0311112
-0.23864877,-0.19054727,-0.42919606,0.46560472,0.27505744,0.036408663,0.23226522
-0.08911502,-0.050347976,-0.139463,0.0010883941,-0.04925958,-0.13837461,-0.2571821
-0.10623266,-0.079383545,-0.1856162,0.13193625,0.052552707,-0.053679943,-0.020010786
-0.23242216,-0.06806565,-0.30048782,0.016943993,-0.05112166,-0.28354383,-0.6637008
-0.27694058,0.02409131,-0.25284928,-0.27268836,-0.24859706,-0.5255376,-1.3413584
0.61812985,-0.082927935,0.5352019,-0.058340017,-0.14126796,0.4768619,1.4656707
-0.07017861,-0.16466208,-0.23484069,-0.27979663,-0.44445872,-0.51463735,-1.3108343
-0.11924075,-0.09880871,-0.21804947,-0.021222062,-0.120030776,-0.23927152,-0.5397247
-0.031171082,-0.021096824,-0.052267905,-0.14233719,-0.16343401,-0.1946051,-0.4146449
-0.29021692,0.18260272,-0.107614204,-0.05830349,0.12429923,-0.1659177,-0.33431125
0.28807414,-0.05430031,0.23377383,0.038243763,-0.016056545,0.2720176,0.89204323
0.05176428,-0.15804538,-0.1062811,-0.19276108,-0.35080647,-0.29904217,-0.707101
-0.053751573,-0.11173291,-0.16548449,-0.1477138,-0.2594467,-0.31319827,-0.7467425
0.12996957,-0.004580293,0.12538928,-0.101927,-0.10650729,0.02346228,0.19601133
-0.4775061,0.17507012,-0.302436,-0.17610626,-0.0010361373,-0.47854227,-1.2097569
-0.17842047,0.025199588,-0.15322088,0.103150465,0.12835005,-0.050070412,-0.009902983
-0.5179971,0.0134180235,-0.50457907,0.27601793,0.28943595,-0.22856113,-0.50973225
-0.4795691,-0.06679839,-0.5463675,-0.03950062,-0.10629901,-0.5858681,-1.5103027
0.30233935,0.09830061,0.40063995,-0.19154626,-0.09324565,0.20909369,0.7158368
0.25113285,-0.075014815,0.17611803,-0.062584974,-0.1375998,0.11353306,0.44823742
-0.42565727,0.05450132,-0.37115595,0.07930814,0.13380946,-0.29184783,-0.6869546
-0.43088078,0.020715274,-0.41016552,-0.14097399,-0.12025871,-0.5511395,-1.4130516
0.08889367,0.09374159,0.18263525,-0.043384496,0.050357092,0.13925076,0.52025497
